CaseNo,Address_1,DateOpened_1,CaseType,OpenClosed,Status,StatusDate_1
19634120-2               ,4120 Victoria Way,10/01/2014,Housing   ,Closed,Invalid Complaint                                 ,10/01/2014
05151855-2               ,1855 Dalton Ct,10/01/2014,Housing   ,Open  ,Complaint Received                                ,10/01/2014
07120740W10              ,740 Florence Ave,10/01/2014,Nuisance  ,Open  ,Nuisance - Open                                   ,10/01/2014
38090000W6               ,0 Sellers Aly,10/01/2014,Nuisance  ,Open  ,Nuisance - Open                                   ,10/01/2014
00430568W5               ,568 Anniston Dr,10/01/2014,Nuisance  ,Open  ,Nuisance - Open                                   ,10/01/2014
41690000W2               ,0 Windstar Way,10/01/2014,Nuisance  ,Open  ,Nuisance - Open                                   ,10/01/2014
22850903W2               ,903 Charwood Dr,10/01/2014,Nuisance  ,Open  ,Nuisance - Open                                   ,10/01/2014
08370000W2               ,0 Greendale Rd,10/01/2014,Nuisance  ,Open  ,Nuisance - Open                                   ,10/01/2014
12360000W4               ,0 Manchester St,10/01/2014,Nuisance  ,Open  ,Nuisance - Open                                   ,10/01/2014
09950240W                ,240 Irvine Rd,10/01/2014,Nuisance  ,Open  ,Nuisance - Open                                   ,10/01/2014
12040705W4               ,705 E Loudon Ave,10/01/2014,Nuisance  ,Open  ,Nuisance - Open                                   ,10/01/2014
14733201W12              ,3201 Paxson Ct,10/01/2014,Nuisance  ,Open  ,Nuisance - Open                                   ,10/01/2014
19602285W6               ,2285 Versailles Rd,10/01/2014,Nuisance  ,Open  ,Nuisance - Open                                   ,10/01/2014
02840340W                ,340 Burley Ave,10/01/2014,Nuisance  ,Open  ,Nuisance - Open                                   ,10/01/2014
08862104W6               ,2104 Harrodsburg Rd,10/01/2014,Nuisance  ,Open  ,Nuisance - Open                                   ,10/01/2014
09331406W37              ,1406 Highlawn Ave,10/01/2014,Nuisance  ,Open  ,Nuisance - Open                                   ,09/30/2014
19370000SIGNS2           ,0 Twain Ridge Dr,10/01/2014,Nuisance  ,Open  ,Sign Complaint Received                           ,10/01/2014
03640000SIGNS14          ,0 Centre Pkwy,10/01/2014,Nuisance  ,Open  ,Sign Complaint Received                           ,10/01/2014
19601907SIGNS5           ,1907 Versailles Rd,10/01/2014,Nuisance  ,Open  ,Sign Complaint Received                           ,10/01/2014
14923320SIGNS            ,3320 Pepperhill Rd,10/01/2014,Nuisance  ,Open  ,Sign Complaint Received                           ,10/01/2014
09130418SIGNS2           ,418 Henry Clay Blvd,10/01/2014,Nuisance  ,Open  ,Sign Complaint Received                           ,10/01/2014
09130234SIGNS            ,234 Henry Clay Blvd,10/01/2014,Nuisance  ,Open  ,Sign Complaint Received                           ,10/01/2014
09130340SIGNS            ,340 Henry Clay Blvd,10/01/2014,Nuisance  ,Open  ,Sign Complaint Received                           ,10/01/2014
11751556SIGNS            ,1556 Lindy Ln,10/01/2014,Nuisance  ,Open  ,Sign Complaint Received                           ,10/01/2014
20680000SIGNS27          ,0 Winchester Rd,10/01/2014,Nuisance  ,Open  ,Sign Complaint Received                           ,10/01/2014
17470450SIGNS            ,450 Southland Dr,10/01/2014,Nuisance  ,Open  ,Sign Complaint Received                           ,10/01/2014
20640000SIGNS31          ,0 Wilson Downing Rd,09/30/2014,Nuisance  ,Open  ,Sign Complaint Received                           ,09/30/2014
20681575SIGNS            ,1575 Winchester Rd,09/30/2014,Nuisance  ,Open  ,Sign Complaint Received                           ,09/30/2014
35240000SIGNS10          ,0 Star Shoot Pkwy,09/30/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,10/01/2014
16010000SIGNS136         ,0 Richmond Rd,09/30/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,09/30/2014
08860000SIGNS139         ,0 Harrodsburg Rd,09/30/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,09/30/2014
13970000SIGNS142         ,0 Nicholasville Rd,09/30/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,09/30/2014
18590000SIGNS156         ,0 Tates Creek Rd,09/30/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,09/30/2014
03950000SIGNS32          ,0 Chinoe Rd,09/30/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,09/30/2014
04650000SIGNS22          ,0 Cooper Dr,09/30/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,09/30/2014
17470000SIGNS61          ,0 Southland Dr,09/30/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,09/30/2014
14660000SIGNS25          ,0 Pasadena Dr,09/30/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,09/30/2014
04170000SIGNS103         ,0 Clays Mill Rd,09/30/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,09/30/2014
19840000SIGNS29          ,0 Waller Ave,09/30/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,09/30/2014
07200000SIGNS32          ,0 Fontaine Rd,09/30/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,09/30/2014
06650000SIGNS16          ,0 Euclid Ave,09/30/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,09/30/2014
09290000SIGNS23          ,0 E High St,09/30/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,09/30/2014
12300000SIGNS11          ,0 Malabu Dr,09/30/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,09/30/2014
15890000SIGNS12          ,0 Regency Rd,09/30/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,09/30/2014
19010000SIGNS37          ,0 Todds Rd,09/30/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,09/30/2014
18593399W2               ,3399 Tates Creek Rd,09/30/2014,Nuisance  ,Open  ,Nuisance w/Civil Penalty                          ,10/01/2014
06080209W2               ,209 Eastern Ave,09/30/2014,Nuisance  ,Open  ,Nuisance w/Civil Penalty                          ,09/29/2014
06080211W9               ,211 Eastern Ave,09/30/2014,Nuisance  ,Open  ,Nuisance w/Civil Penalty                          ,09/29/2014
