CaseNo;Address_1;DateOpened_1;CaseType;OpenClosed;Status;StatusDate_1
20680000SIGNS31          ;0 Winchester Rd;03/04/2015;Nuisance  ;Open  ;Sign Complaint Received                           ;03/04/2015
12670409W32              ;409 E Maxwell St;03/04/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/04/2015
19440422W6               ;422 N Upper St;03/04/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/04/2015
03630613W2               ;613 Central Ave;03/04/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/04/2015
10100336W5               ;336 Jefferson St;03/04/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/04/2015
12840805W29              ;805 Meadow Ln;03/04/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/04/2015
13610175W                ;175 N Mt Tabor Rd;03/04/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/04/2015
16400335W                ;335 Ross Ave;03/04/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/04/2015
03910311BRDUP            ;311 Chestnut St;03/04/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/04/2015
09321313EMER             ;1313 Highland Park Dr;03/04/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/04/2015
00241956EMER             ;1956 Alice Dr;03/04/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/04/2015
00241956-5               ;1956 Alice Dr;03/04/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/04/2015
08940557                 ;557 Haskins Dr;03/04/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/04/2015
05151862#1-3             ;1862 Dalton Ct #1;03/04/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/04/2015
05151862#8-3             ;1862 Dalton Ct #8;03/04/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/04/2015
11660912#1               ;912 N Limestone#1;03/04/2015;Housing   ;Open  ;Complaint Received                                ;03/04/2015
05082132                 ;2132 Cypress Dr;03/04/2015;Housing   ;Open  ;Complaint Received                                ;03/04/2015
07202077#12-2            ;2077 Fontaine Rd#12;03/04/2015;Housing   ;Open  ;Complaint Received                                ;03/04/2015
11670565#202             ;565 S Limestone#202;03/03/2015;Housing   ;Open  ;Complaint Received                                ;03/03/2015
00483751#273             ;3751 Appian Way#273;03/03/2015;Housing   ;Open  ;Complaint Received                                ;03/03/2015
19890367-2               ;367 N Martin Luther King Blvd;03/03/2015;Housing   ;Open  ;Complaint Received                                ;03/03/2015
02511064                 ;1064 S Broadway;03/03/2015;Housing   ;Open  ;Complaint Received                                ;03/03/2015
25810817-5               ;817 Quarter Horse Ct;03/03/2015;Housing   ;Open  ;Complaint Received                                ;03/03/2015
19440672-7               ;672 N Upper St;03/03/2015;Housing   ;Open  ;Complaint Received                                ;03/03/2015
14380283-2               ;283 Osage Ct;03/03/2015;Housing   ;Open  ;Complaint Received                                ;03/03/2015
14380285-3               ;285 Osage Ct;03/03/2015;Housing   ;Open  ;Complaint Received                                ;03/03/2015
12840902-2               ;902 Meadow Ln;03/03/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/03/2015
05130426-7               ;426 Dallas Ave;03/03/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/03/2015
00231612W10              ;1612 Alexandria Dr;03/03/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/03/2015
38834068W                ;4068 Boone Creek Rd;03/03/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/03/2015
