permit_no;date;address;type;work;entity;start;end;lnblock
 29941;06/25/2015;794 Manchester St;Installation;New Construction;Contractor;07/01/2015;01/29/2016;Yes
 29942;06/25/2015;722 Euclid Ave;Installation;Maintenance;Contractor;07/01/2015;07/30/2015;No
 29943;06/25/2015;1110 Stillwell Ave;Street Cut;New Construction;Contractor;06/30/2015;07/01/2015;Yes
 29944;06/25/2015;147 Burley Ave;Street Cut;New Construction;Contractor;07/01/2015;07/01/2015;Yes
 29930;06/24/2015;2070 Falling Leaves Ln;Annual General Permit;New Construction;Columbia Gas;07/03/2015;07/24/2015;No
 29931;06/24/2015;2933 Blackford Pkwy;Annual General Permit;New Construction;Columbia Gas;07/03/2015;07/24/2015;No
 29932;06/24/2015;925 Turkey Foot Rd;Annual General Permit;New Construction;Columbia Gas;07/03/2015;07/24/2015;No
 29933;06/24/2015;1057 Crestfield Ln;Annual General Permit;New Construction;Columbia Gas;07/03/2015;07/24/2015;No
 29934;06/24/2015;224 Owsley Ave;Street Cut;New Construction;Columbia Gas;07/03/2015;07/24/2015;Yes
 29935;06/24/2015;460 Rose Ln;Installation;New Construction;Columbia Gas;07/03/2015;07/24/2015;No
 29936;06/24/2015;1113 Kavenaugh Ln;Installation;New Construction;Columbia Gas;07/03/2015;07/24/2015;No
 29937;06/24/2015;1841 Rachels Run;Installation;New Construction;Columbia Gas;07/03/2015;07/24/2015;No
 29938;06/24/2015;135 Malabu Dr;Street Cut;Repair;LFUCG-San Sewers (Water Quality);07/03/2015;07/24/2015;Yes
 29939;06/24/2015;405 Pennsylvania Ct;Annual General Permit;Maintenance;Columbia Gas;06/15/2015;07/06/2015;No
 29940;06/24/2015;406-410 Pennsylvania Ct;Installation;Maintenance;Columbia Gas;06/16/2015;07/06/2015;No
 29929;06/23/2015;314 S Hanover Ave;Installation;Maintenance;Contractor;06/22/2015;06/26/2015;No
 29911;06/22/2015;413 Pennsylvania Ct;Installation;Repair;Columbia Gas;06/15/2015;07/06/2015;No
 29912;06/22/2015;400 Pennsylvania Ct;Installation;Repair;Columbia Gas;06/15/2015;07/06/2015;No
